Far field
"Phi"[deg]	"FarField4 [m^2]"	
3.32000000E+02	7.33116532E-04	
3.34000000E+02	6.39336567E-04	
3.36000000E+02	5.50510729E-04	
3.38000000E+02	4.67075569E-04	
3.40000000E+02	3.89441457E-04	
3.42000000E+02	3.17990513E-04	
3.44000000E+02	2.53074672E-04	
3.46000000E+02	1.95013907E-04	
3.48000000E+02	1.44094597E-04	
3.50000000E+02	1.00568079E-04	
3.52000000E+02	6.46493612E-05	
3.54000000E+02	3.65160272E-05	
3.56000000E+02	1.63073278E-05	
3.58000000E+02	4.12346697E-06	
3.60000000E+02	2.50863880E-08	
